"yr","site","mean.NDVI.win","mean.NDVI.spr","mean.NDVI.sum","mean.NDVI.fall","mean.NDVI.year"
"1993","broadleaf",0.713533333333333,0.698166666666667,0.729033333333333,0.821966666666667,0.740675
"1993","Lloyd",0.672166666666667,0.646533333333333,0.641833333333333,0.6755,0.659008333333333
"1993","scrub",0.461933333333333,0.472333333333333,0.4283,0.5646,0.481791666666667
"1994","broadleaf",0.751633333333333,0.7508,0.662033333333333,0.825066666666667,0.747383333333333
"1994","Lloyd",0.6585,0.630666666666667,0.646033333333333,0.692866666666667,0.657016666666667
"1994","scrub",0.405066666666667,0.490333333333333,0.421,0.518233333333333,0.458658333333333
"1995","broadleaf",0.776533333333333,0.724066666666667,0.709533333333333,0.841233333333333,0.762841666666667
"1995","Lloyd",0.664333333333333,0.638333333333333,0.660833333333333,0.7262,0.672425
"1995","scrub",0.466466666666667,0.446233333333333,0.519233333333333,0.552033333333333,0.495991666666667
"1996","broadleaf",0.737666666666667,0.720966666666667,0.744066666666667,0.858533333333333,0.765308333333333
"1996","Lloyd",0.681566666666667,0.664466666666667,0.6556,0.704266666666667,0.676475
"1996","scrub",0.491666666666667,0.486033333333333,0.430333333333333,0.615166666666667,0.5058
"1997","broadleaf",0.804266666666667,0.776466666666667,0.6994,0.845866666666667,0.7815
"1997","Lloyd",0.6868,0.638733333333333,0.658933333333333,0.694233333333333,0.669675
"1997","scrub",0.425666666666667,0.516233333333333,0.471466666666667,0.567,0.495091666666667
"1998","broadleaf",0.7537,0.7623,0.736666666666667,0.8274,0.770016666666667
"1998","Lloyd",0.655033333333333,0.6482,0.6524,0.704433333333333,0.665016666666667
"1998","scrub",0.454866666666667,0.4429,0.502933333333333,0.511233333333333,0.477983333333333
"1999","broadleaf",0.614,0.633833333333333,0.736166666666667,0.800833333333333,0.696208333333333
"1999","Lloyd",0.651233333333333,0.625233333333333,0.681733333333333,0.677666666666667,0.658966666666667
"1999","scrub",0.3865,0.369233333333333,0.535133333333333,0.5295,0.455091666666667
"2000","broadleaf",0.6896,0.742133333333333,0.678266666666667,0.747766666666667,0.714441666666667
"2000","Lloyd",0.6743,0.650033333333333,0.638833333333333,0.669766666666667,0.658233333333333
"2000","scrub",0.415366666666667,0.484233333333333,0.449433333333333,0.482033333333333,0.457766666666667
"2001","broadleaf",0.678133333333333,0.750633333333333,0.718866666666667,0.745733333333333,0.723341666666667
"2001","Lloyd",0.686066666666667,0.650066666666667,0.650233333333333,0.674033333333333,0.6651
"2001","scrub",0.401433333333333,0.500666666666667,0.4734,0.490666666666667,0.466541666666667
"2002","broadleaf",0.6883,0.793766666666667,0.753366666666667,0.827066666666667,0.765625
"2002","Lloyd",0.668833333333333,0.6562,0.6485,0.681766666666667,0.663825
"2002","scrub",0.391466666666667,0.4608,0.4406,0.504633333333333,0.449375
"2003","broadleaf",0.68,0.756433333333333,0.704933333333333,0.800866666666667,0.735558333333333
"2003","Lloyd",0.682333333333333,0.6286,0.6691,0.644466666666667,0.656125
"2003","scrub",0.373566666666667,0.433966666666667,0.499666666666667,0.544433333333333,0.462908333333333
"2004","broadleaf",0.7343,0.714066666666667,NA,NA,NA
"2004","Lloyd",0.691066666666667,0.6472,NA,NA,NA
"2004","scrub",0.468133333333333,0.428966666666667,NA,NA,NA
"2005","broadleaf",0.686933333333333,0.7405,0.738933333333333,0.8362,0.750641666666667
"2005","Lloyd",0.6447,0.6389,0.671866666666667,0.667366666666667,0.655708333333333
"2005","scrub",0.450333333333333,0.471233333333333,0.5189,0.562,0.500616666666667
"2006","broadleaf",0.698866666666667,0.759233333333333,0.722166666666667,0.821966666666667,0.750558333333333
"2006","Lloyd",0.662866666666667,0.6318,0.676766666666667,0.697166666666667,0.66715
"2006","scrub",0.4904,0.541,0.550433333333333,0.582633333333333,0.541116666666667
"2007","broadleaf",0.747833333333333,0.793733333333333,0.705033333333333,0.785166666666667,0.757941666666667
"2007","Lloyd",0.703,0.6804,0.691833333333333,0.6872,0.690608333333333
"2007","scrub",0.4911,0.448433333333333,0.437233333333333,0.579533333333333,0.489075
"2008","broadleaf",0.728733333333333,0.766666666666667,0.731266666666667,0.808633333333333,0.758825
"2008","Lloyd",0.7116,0.660266666666667,0.6848,0.7169,0.693391666666667
"2008","scrub",0.5353,0.491233333333333,0.4991,0.590066666666667,0.528925
"2009","broadleaf",0.7084,0.644033333333333,0.728066666666667,0.7759,0.7141
"2009","Lloyd",0.718533333333333,0.675266666666667,0.712566666666667,0.7179,0.706066666666667
"2009","scrub",0.4858,0.432066666666667,0.449866666666667,0.525566666666667,0.473325
"2010","broadleaf",0.6938,0.7686,0.793366666666667,0.794666666666667,0.762608333333333
"2010","Lloyd",0.671433333333333,0.703533333333333,0.701566666666667,0.7116,0.697033333333333
"2010","scrub",0.4615,0.451466666666667,0.569233333333333,0.597733333333333,0.519983333333333
"2011","broadleaf",0.736933333333333,0.743566666666667,0.805333333333333,0.751866666666667,0.759425
"2011","Lloyd",0.716033333333333,0.697533333333333,0.701633333333333,0.710733333333333,0.706483333333333
"2011","scrub",0.493866666666667,0.529133333333333,0.5896,0.565033333333333,0.544408333333333
"2012","broadleaf",0.7058,0.716633333333333,0.741833333333333,0.7916,0.738966666666667
"2012","Lloyd",0.730833333333333,0.668266666666667,0.716133333333333,0.72,0.708808333333333
"2012","scrub",0.4919,0.5197,0.542066666666667,0.5677,0.530341666666667
"2013","broadleaf",0.688566666666667,0.638333333333333,0.7457,0.787933333333333,0.715133333333333
